"id";"name";"artist";"uri";"img_url";"insertdatetime";"requestedby";"played";"playdatetime"
"1";"Say You Won't Let Go";"James Arthur";"spotify:track:5uCax9HTNlzGybIStD3vDh";"https://i.scdn.co/image/ab67616d00001e0220beb61f61fcbeb33b10a9ab";"2020-09-30 04:10:37";"1380704667";"0";"2020-09-30 19:28:07"
"2";"WAP (feat. Megan Thee Stallion)";"Cardi B";"spotify:track:4Oun2ylbjFKMPTiaSbbCih";"https://i.scdn.co/image/ab67616d00001e02c450c89d3eb750d3535b0a0c";"2020-09-30 04:22:11";"2844980724";"0";"2020-09-30 19:28:27"
"3";"Detachable Penis";"King Missile";"spotify:track:7wXPymdFwPwxd6pwt267Tx";"https://i.scdn.co/image/ab67616d00001e024a523b32effb99cfdcbfebc5";"2020-09-30 04:24:49";"2844980724";"0";"2020-09-30 19:28:29"
"4";"Fuck You";"CeeLo Green";"spotify:track:4ycLiPVzE5KamivXrAzGFG";"https://i.scdn.co/image/ab67616d00001e026f50b3400595b123a916e0dc";"2020-09-30 04:25:18";"2844980724";"0";"2020-09-30 19:28:31"
"5";"Loser";"Beck";"spotify:track:5PntSbMHC1ud6Vvl8x56qd";"https://i.scdn.co/image/ab67616d00001e02b07e5a0787e609bc1f1270f8";"2020-09-30 04:25:41";"2844980724";"0";NULL
"6";"I Am Moana (Song of the Ancestors)";"Rachel House";"spotify:track:6uk7QQiWRDjPHSiSMZlez8";"https://i.scdn.co/image/ab67616d00001e023505183cc0e24d2f7560174a";"2020-09-30 04:25:53";"2844980724";"0";"2020-09-30 19:28:34"
"7";"Yellow Ledbetter";"Pearl Jam";"spotify:track:3bE5slaVEfaDreqARl6k4M";"https://i.scdn.co/image/ab67616d00001e028df1fdc14be33eb2c991d60f";"2020-09-30 04:26:39";"2844980724";"0";NULL
"8";"Your Song";"Elton John";"spotify:track:38zsOOcu31XbbYj9BIPUF1";"https://i.scdn.co/image/ab67616d00001e024b292ed7c7360a04d3d6b74a";"2020-09-30 04:26:58";"2844980724";"0";"2020-09-30 19:28:37"
"9";"You & Me";"Dave Matthews Band";"spotify:track:12ZdBjNAfRXZZTvMSrJPUb";"https://i.scdn.co/image/ab67616d00001e0293b1207d9f988410881d7c4d";"2020-09-30 04:28:06";"2844980724";"0";NULL
"10";"The Luckiest";"Ben Folds";"spotify:track:1fujSajijBpJlr5mRGKHJN";"https://i.scdn.co/image/ab67616d00001e02d25c579ea362aeee960d0d6b";"2020-09-30 04:28:50";"2844980724";"0";NULL
"11";"All Creatures of Our God and King";"Liz Owen";"spotify:track:4lXWWms7YRTDFzDIPp3Axx";"https://i.scdn.co/image/ab67616d00001e02fc422437b00dff835e42c5b0";"2020-09-30 04:29:27";"2844980724";"0";NULL
"12";"Crank That (Soulja Boy)";"Soulja Boy";"spotify:track:66TRwr5uJwPt15mfFkzhbi";"https://i.scdn.co/image/ab67616d00001e028a6a328ced07af494400584b";"2020-09-30 04:31:41";"2844980724";"0";NULL
"13";"I Don't Want You Back";"Eamon";"spotify:track:5KG3Jt9obEx9s4AN5ToXSh";"https://i.scdn.co/image/ab67616d00001e02ec501ddc87b3ddb6ff0e834b";"2020-09-30 04:32:02";"176680476";"0";NULL
"14";"Riptide";"Vance Joy";"spotify:track:3JvrhDOgAt6p7K8mDyZwRd";"https://i.scdn.co/image/ab67616d00001e02a9929deb093a6617d2493b03";"2020-09-30 04:32:24";"2844980724";"0";NULL
"15";"Over the Rainbow";"Israel Kamakawiwo'ole";"spotify:track:3oQomOPRNQ5NVFUmLJHbAV";"https://i.scdn.co/image/ab67616d00001e0256c868c8c85e7e4e62bd9ec1";"2020-09-30 04:32:38";"2844980724";"0";NULL
"16";"Enter Sandman";"Metallica";"spotify:track:5BIMPccDwShpXq784RJlJp";"https://i.scdn.co/image/ab67616d00001e02af07dc851962508661bbcfce";"2020-09-30 04:32:51";"2844980724";"0";NULL
"17";"You're My Best Friend - Remastered 2011";"Queen";"spotify:track:4OKf7CcYuw5H2HptkcKxcP";"https://i.scdn.co/image/ab67616d00001e02ce4f1737bc8a646c8c4bd25a";"2020-09-30 04:33:38";"2844980724";"0";NULL
"18";"You've Got To Hide Your Love Away - Remastered 200";"The Beatles";"spotify:track:4F1AgKpuFRMLEgtPETVwZk";"https://i.scdn.co/image/ab67616d00001e02e3e3b64cea45265469d4cafa";"2020-09-30 04:33:54";"2844980724";"0";NULL
"19";"Regulate";"Warren G";"spotify:track:7nYvUtkQMx1v80S2FH2s9J";"https://i.scdn.co/image/ab67616d00001e02f6b9b62ea130943d371b69ef";"2020-09-30 04:35:00";"2844980724";"0";NULL
"20";"Baby";"Justin Bieber";"spotify:track:6epn3r7S14KUqlReYr77hA";"https://i.scdn.co/image/ab67616d00001e02629dc9e2e3bc20bbd7d92e4a";"2020-09-30 04:36:31";"2844980724";"0";NULL
"21";"WHY AREN'T WE HAVING SEX?";"Liza Owen";"spotify:track:4TeCOxRXaIADpEAsV341lX";"https://i.scdn.co/image/ab67616d00001e029db2e32a315d016b0301eea9";"2020-09-30 04:36:48";"3162486421";"0";"2020-09-30 19:26:49"
"22";"Better Together";"Jack Johnson";"spotify:track:4VywXu6umkIQ2OS0m1I79y";"https://i.scdn.co/image/ab67616d00001e0206b42768ebe736eec21336ea";"2020-09-30 16:59:42";"3162486421";"0";"2020-09-30 19:27:47"
"23";"The Git Up";"Blanco Brown";"spotify:track:2KKijf6Ett4kmVNJze2roh";"https://i.scdn.co/image/ab67616d00001e0216a4572af63994af2da61dc9";"2020-09-30 18:01:02";"3869454900";"0";NULL
"24";"Forgot About Dre";"Dr. Dre";"spotify:track:7iXF2W9vKmDoGAhlHdpyIa";"https://i.scdn.co/image/ab67616d00001e029b19c107109de740bad72df5";"2020-09-30 18:02:49";"3869454900";"0";NULL
"25";"Because I Got High - Extended Version";"Afroman";"spotify:track:28IvFkxf9TBHdCIe3n1JWm";"https://i.scdn.co/image/ab67616d00001e02734b1164a9e0faa980ce1b92";"2020-09-30 18:04:16";"3869454900";"0";NULL
"26";"The Real Slim Shady";"Eminem";"spotify:track:3yfqSUWxFvZELEM4PmlwIR";"https://i.scdn.co/image/ab67616d00001e02dbb3dd82da45b7d7f31b1b42";"2020-09-30 18:07:33";"3869454900";"0";NULL
"27";"Hot In Herre";"Nelly";"spotify:track:04KTF78FFg8sOHC1BADqbY";"https://i.scdn.co/image/ab67616d00001e02a8b9f97b9ea065b9a857e93f";"2020-09-30 19:21:16";"2979005219";"0";"2020-09-30 19:27:49"
"28";"I'll Make Love To You";"Boyz II Men";"spotify:track:61sQYdFNS6sEBYCyr1q5gn";"https://i.scdn.co/image/ab67616d00001e026b3b28022871bae1a5d0f057";"2020-09-30 19:21:35";"2979005219";"0";"2020-09-30 19:27:51"
"29";"My Dick";"Mickey Avalon";"spotify:track:2tN2Kvzm2ITh1jnMKjjWBZ";"https://i.scdn.co/image/ab67616d00001e02ef4b07e653544a82fa25a6de";"2020-09-30 19:22:36";"2979005219";"0";"2020-09-30 19:27:53"
"30";"Crazy Rap (Colt 45 & 2 Zig Zags)";"Afroman";"spotify:track:1ACZpHI5vZ5Ea4xGlkdGWM";"https://i.scdn.co/image/ab67616d00001e02734b1164a9e0faa980ce1b92";"2020-09-30 19:23:23";"2979005219";"0";"2020-09-30 19:27:55"
"31";"Brick";"Ben Folds Five";"spotify:track:4jKq1e80xAYixkIwt6YyV1";"https://i.scdn.co/image/ab67616d00001e0298dc5ccf21dd6bc171962cb9";"2020-09-30 19:25:00";"2979005219";"0";NULL
"32";"Dancing On My Own";"Calum Scott";"spotify:track:2BOqDYLOJBiMOXShCV1neZ";"https://i.scdn.co/image/ab67616d00001e02f2d671c22b70e01b78a618a8";"2020-09-30 19:25:56";"2979005219";"0";NULL
"33";"I Can't Make You Love Me";"Bonnie Raitt";"spotify:track:69uJi5QsBtqlYkGURTBli8";"https://i.scdn.co/image/ab67616d00001e02a1113af3a19a41dc8eec534e";"2020-09-30 19:27:40";"2979005219";"0";NULL
"34";"Lonely";"Akon";"spotify:track:5QnM8r0kqFdM84k18aFE2V";"https://i.scdn.co/image/ab67616d00001e029d0fd56023a2f9984ec62a24";"2020-09-30 19:29:04";"2979005219";"0";NULL
"35";"Concrete Angel";"Martina McBride";"spotify:track:2LLcI3oU4CedCQDV5tJ1SK";"https://i.scdn.co/image/ab67616d00001e02399bd97600df8951a63c2cdc";"2020-09-30 19:29:26";"2979005219";"0";NULL
"36";"The Sound of Silence";"Disturbed";"spotify:track:1Cj2vqUwlJVG27gJrun92y";"https://i.scdn.co/image/ab67616d00001e02d7bd0f8e4d2a399020b333e8";"2020-09-30 19:30:56";"2979005219";"0";NULL
"37";"I Just Had Sex";"The Lonely Island";"spotify:track:5PEleSkK4p4E1sx3x7cOLt";"https://i.scdn.co/image/ab67616d00001e02c32ba68cc0b71bf14366970a";"2020-09-30 19:40:55";"1380704667";"0";NULL
"38";"SLUTS WIT NUTS";"Lil Darkie";"spotify:track:6bNu7FqRJqhMQb0hAG9HGz";"https://i.scdn.co/image/ab67616d00001e0280d094af4e14413c380561d4";"2020-09-30 19:41:53";"1380704667";"0";NULL
"39";"Cum Get It";"Tink";"spotify:track:6D12l9pW96xYN8kQXOGRVc";"https://i.scdn.co/image/ab67616d00001e02114c40435d2aca1dfed4da86";"2020-09-30 19:43:37";"1380704667";"0";NULL
"40";"Tits On A Tricycle";"SNBRN";"spotify:track:62UANpy9jMNr1Mlh8Kte8O";"https://i.scdn.co/image/ab67616d00001e027cae6bef5ca942a768277377";"2020-09-30 19:44:39";"1380704667";"0";NULL
"41";"Raging Zef Boner";"Die Antwoord";"spotify:track:2z3bxv6KtND0SPwngyhZeJ";"https://i.scdn.co/image/ab67616d00001e02cbeca2cad6284ab5a12742d1";"2020-09-30 19:49:17";"2844980724";"0";NULL
"42";"Poop in My Fingernails";"The Toilet Bowl Cleaners";"spotify:track:6iXBQXYVSMSY7LsZ7lj161";"https://i.scdn.co/image/ab67616d00001e02aebb0ac5df7a92841b4816a0";"2020-09-30 19:49:39";"2844980724";"0";NULL
"43";"Jizz In My Pants";"The Lonely Island";"spotify:track:0WnUB48NWIl4R96uGuF2XQ";"https://i.scdn.co/image/ab67616d00001e02380381d633bf3b5a8357f17f";"2020-09-30 19:49:53";"2844980724";"0";NULL
"44";"Codeine Guzzler";"Vogwrld";"spotify:track:7DPo78eKngCWWNS2XT7ONB";"https://i.scdn.co/image/ab67616d00001e020050875db3bb7e556e497a84";"2020-09-30 19:50:06";"2844980724";"0";NULL
"45";"Murder On My Mind";"YNW Melly";"spotify:track:7eBqSVxrzQZtK2mmgRG6lC";"https://i.scdn.co/image/ab67616d00001e020f5397dc6aa91374897182e0";"2020-09-30 19:50:34";"2844980724";"0";NULL
"46";"Weddings & Funerals";"Royal & the Serpent";"spotify:track:5XGjHvW9kqp8QqFpMHmESt";"https://i.scdn.co/image/ab67616d00001e02323784b87179aa4c347b71fe";"2020-09-30 19:51:00";"2844980724";"0";NULL
"47";"Rotten And Paralyzed In A Tropical Paradise";"$uicideBoy$";"spotify:track:6j55eHHtqMWJWw7eS6oRCp";"https://i.scdn.co/image/ab67616d00001e02bbd2c3fb76c9c0e8aeca82ed";"2020-09-30 19:51:30";"2844980724";"0";NULL
"48";"Forever ... (is a long time)";"Halsey";"spotify:track:6BORJ0ZazxMBpM3cWg79Id";"https://i.scdn.co/image/ab67616d00001e027636e1c9e67eaafc9f49aefd";"2020-09-30 19:51:42";"2844980724";"0";NULL
"49";"Baby Shark";"Pinkfong";"spotify:track:5ygDXis42ncn6kYG14lEVG";"https://i.scdn.co/image/ab67616d00001e0211723f2867f29b2134ae47e4";"2020-09-30 20:17:05";"1380704667";"0";NULL
"50";"I Am A Gummy Bear - The Gummy Bear Song";"Gummy Bear";"spotify:track:6BqdNDLZ3Pdcly46pu6nwj";"https://i.scdn.co/image/ab67616d00001e02242bef729eb6b2104c84cfef";"2020-09-30 20:17:25";"1380704667";"0";NULL
"51";"Put It In Your Mouth";"Akinyele";"spotify:track:2CCoMFhrtBxSii1zR67BNm";"https://i.scdn.co/image/ab67616d00001e027f9ccf9d3a5b07dd3f09e937";"2020-09-30 20:19:26";"1380704667";"0";NULL
"52";"Boys";"Lizzo";"spotify:track:1du4tPkvJfCIuVL6WMtqSs";"https://i.scdn.co/image/ab67616d00001e02bf7d271b8f3051af3cf0bf55";"2020-10-01 03:35:36";"69967187";"0";NULL
